Fantasy Team,Player ID,Round,Pick,Ov Pick,Pos,Player,Team,DraftGP,DraftPts,DraftPPG,DraftRank,DrafRankDelta,SeasonGP,SeasonPts,SeasonPPG,SeasonRank,SeasonDelta,Utilisation
STL,*04y92*,1,1,1,F,Bukayo Saka,ARS,30,397.75,13.26,9,-8,30.999228395061728,401.75,12.96,13,-12,0.9900435594275047
OWL,*03aqp*,1,2,2,F,Mohamed Salah Ghaly,LIV,24,244.75,10.2,46,-44,26.98776758409786,264.75,9.81,91,-89,0.9244570349386213
PUN,*05gcr*,1,3,3,M,Bruno Miguel Borges Fernandes,MUN,35,644,18.4,1,2,35,644,18.4,1,2,1
PLE,*061vq*,1,4,4,F,Erling Haaland,MCI,34,519.5,15.28,2,2,35.006738544474395,519.5,14.84,2,2,1
KKCS,*05l8q*,1,5,5,M,Cole Palmer,CHE,25,214.25,8.57,52,-47,25.995449374288967,228.5,8.79,122,-117,0.937636761487965
BRG,*06v21*,1,6,6,M,Florian Wirtz,LIV,31,290.75,9.38,30,-24,33.013172338090016,300.75,9.11,53,-47,0.9667497921862012
RVN,*05nt6*,1,7,7,M,Eberechi Eze,CRY,23,187.25,8.14,60,-53,33,214.5,6.5,140,-133,0.872960372960373
MTP,*0646f*,1,8,8,F,Alexander Isak,NEW,2,14,7,135,-127,13.99297423887588,59.75,4.27,368,-360,0.23430962343096234
UFOE,*067yz*,1,9,9,F,Matheus Santos Carneiro Da Cunha,MUN,28,283.75,10.13,32,-23,33.010648596321396,341,10.33,28,-19,0.8321114369501467
COB,*05trb*,1,10,10,F,Bryan Mbeumo,MUN,29,301.5,10.4,27,-17,33.006198347107436,319.5,9.68,42,-32,0.9436619718309859
WOL,*05g2o*,1,11,11,F,Joao Pedro Junqueira de Jesus,CHE,30,365,12.17,13,-2,34.986413043478265,386.25,11.04,17,-6,0.9449838187702265
BGE,*046c5*,1,12,12,F,Jarrod Bowen,WHU,38,420.75,11.07,7,5,37.99357208448117,413.75,10.89,10,2,1
BGE,*04abb*,2,1,13,M,Phil Foden,MCI,27,268,9.93,37,-24,33.0091533180778,288.5,8.74,64,-51,0.92894280762565
WOL,*05r34*,2,2,14,F,Amad Diallo,MUN,26,250.5,9.63,43,-29,32.010739856801905,268.25,8.38,85,-71,0.9338303821062441
COB,*06jgi*,2,3,15,D,Daniel Munoz,CRY,28,304,10.86,26,-11,28.99178832116788,317.75,10.96,43,-28,0.956726986624705
UFOE,*04tsb*,2,4,16,F,Viktor Gy̦keres,ARS,9,92,10.22,88,-72,36.007751937984494,232.25,6.45,116,-100,0.3961248654467169
MTP,*05r9b*,2,5,17,M,Martin Odegaard,ARS,17,134,7.88,77,-60,24.008207934336525,175.5,7.31,187,-170,0.7635327635327636
RVN,*05ocl*,2,6,18,F,Ollie Watkins,AVL,33,291.75,8.84,29,-11,37.011173184357546,331.25,8.95,35,-17,0.8807547169811321
BRG,*04qr9*,2,7,19,M,Morgan Gibbs-White,NOT,34,377.5,11.1,11,8,37.00539568345324,411.5,11.12,11,8,0.9173754556500607
KKCS,*06rf9*,2,8,20,F,Omar Khaled Mohamed Abd Elsala Marmoush,MCI,12,70,5.83,97,-77,21.00656455142232,96,4.57,303,-283,0.7291666666666666
PLE,*06fv8*,2,9,21,M,Mohammed Kudus,TOT,17,180.25,10.6,64,-43,18.991097922848667,192,10.11,168,-147,0.9388020833333334
PUN,*068y0*,2,10,22,F,Antoine Semenyo,BOU,37,454.25,12.28,3,19,36.98770491803279,451.25,12.2,3,19,1
OWL,*04mdn*,2,11,23,F,Anthony Gordon,NEW,22,197.25,8.97,56,-33,25.98684210526316,217.25,8.36,137,-114,0.9079401611047181
STL,*04p0d*,2,12,24,F,Dwight McNeil,EVE,8,48.75,6.09,104,-80,22.002262443438916,97.25,4.42,298,-274,0.5012853470437018
